annual_income,monthly_income,loan_amount,existing_debts,debt_to_income_ratio,number_of_credit_cards,credit_utilization_ratio,payment_history,number_of_late_payments,loan_repayment_history,employment_length,age,savings_balance,previous_defaults,credit_history_length,creditworthiness
36000.0,3126.43,29800.0,6600.0,0.1833,3,0.311,Fair,5,Delayed,9.4,43,3900.0,No,3.7,Bad
83100.0,6906.67,43300.0,3600.0,0.0433,1,0.514,Fair,4,Delayed,7.8,70,800.0,No,33.4,Good
23200.0,2145.75,59000.0,5200.0,0.2241,2,0.376,Poor,2,Mostly Paid,1.0,19,6500.0,No,1.5,Bad
63000.0,5231.64,48500.0,25100.0,0.3984,5,0.557,Fair,4,Defaulted,20.9,37,5900.0,No,9.3,Bad
21000.0,1592.26,10600.0,5100.0,0.2429,2,0.517,Fair,3,Delayed,0.4,45,2100.0,Yes,10.5,Bad
185100.0,15699.68,26300.0,15600.0,0.0843,6,0.276,Good,2,All Paid,7.6,64,34200.0,No,30.5,Good
262700.0,21955.23,6400.0,34400.0,0.1309,3,0.536,Excellent,5,All Paid,4.3,24,30600.0,No,4.2,Good
36300.0,2892.29,5600.0,11100.0,0.3058,5,0.596,Fair,2,All Paid,31.7,61,29200.0,No,24.5,Good
35200.0,2833.59,25300.0,9400.0,0.267,2,0.626,Poor,3,All Paid,5.1,25,3600.0,No,6.2,Good
111100.0,9124.35,15200.0,4900.0,0.0441,2,0.386,Excellent,1,Mostly Paid,4.9,64,21600.0,No,23.8,Good
39000.0,3049.65,45200.0,21800.0,0.559,5,1.0,Fair,6,Defaulted,21.8,52,3400.0,Yes,9.6,Bad
166500.0,13779.5,50100.0,32200.0,0.1934,5,0.851,Poor,3,Mostly Paid,14.2,31,155900.0,No,1.6,Good
75500.0,6366.27,84000.0,4000.0,0.053,4,0.252,Good,2,Delayed,1.8,34,9400.0,No,7.1,Bad
48100.0,4021.15,55000.0,1900.0,0.0395,4,0.138,Excellent,0,Mostly Paid,0.8,53,10200.0,No,20.0,Good
136200.0,11262.36,6700.0,120000.0,0.8811,0,1.0,Fair,5,Defaulted,25.6,67,,Yes,11.0,Bad
64200.0,5649.1,21300.0,6400.0,0.0997,3,0.546,Fair,2,Mostly Paid,9.4,57,17500.0,No,4.7,Good
177700.0,14406.21,16200.0,120000.0,0.6753,4,0.695,Excellent,3,Mostly Paid,1.3,21,11600.0,No,2.9,Good
191000.0,15977.89,22100.0,30300.0,0.1586,4,0.456,Fair,1,Mostly Paid,1.2,19,23200.0,No,0.6,Good
31800.0,2621.45,11100.0,4700.0,0.1478,4,0.713,Good,4,Delayed,0.3,23,14200.0,No,2.6,Good
20200.0,1489.3,8600.0,7300.0,0.3614,4,0.531,Excellent,2,Delayed,25.9,71,14700.0,Yes,8.8,Bad
288500.0,24114.56,30800.0,900.0,0.0031,0,0.523,Fair,4,Delayed,7.1,59,32400.0,Yes,15.4,Good
173800.0,14439.38,49600.0,21500.0,0.1237,6,0.194,Good,1,Mostly Paid,0.8,21,63100.0,No,1.6,Good
23700.0,2224.41,47400.0,2600.0,0.1097,4,0.249,Poor,3,Delayed,11.3,71,800.0,Yes,39.5,Bad
136300.0,11531.95,26000.0,82800.0,0.6075,1,1.0,Fair,4,Delayed,26.5,46,51800.0,No,20.5,Good
59800.0,5364.56,30900.0,13500.0,0.2258,2,0.487,Good,1,Delayed,7.8,35,12400.0,No,4.2,Good
39500.0,3195.0,30400.0,5400.0,0.1367,2,0.376,Good,1,Delayed,24.9,43,5800.0,No,12.7,Good
157100.0,13370.98,46200.0,14600.0,0.0929,1,0.125,Poor,2,Mostly Paid,3.3,61,69800.0,No,26.9,Good
34200.0,2616.83,6700.0,9200.0,0.269,3,0.707,Poor,3,Defaulted,32.5,51,13300.0,Yes,10.3,Bad
211300.0,17586.21,48300.0,10400.0,0.0492,5,0.351,Fair,4,Delayed,,27,15400.0,No,3.8,Good
35000.0,2823.62,35500.0,3000.0,0.0857,3,0.483,Good,1,Mostly Paid,18.0,53,11500.0,No,28.4,Good
81800.0,6937.16,12700.0,8500.0,0.1039,5,0.379,Good,1,Mostly Paid,14.3,31,2200.0,No,8.8,Good
36400.0,3148.99,6800.0,10200.0,0.2802,0,0.487,Fair,2,Delayed,15.5,48,13100.0,No,12.6,Good
71300.0,5761.54,9000.0,10000.0,0.1403,6,0.474,Good,3,Delayed,13.4,65,16500.0,No,22.7,Good
94900.0,8039.97,31000.0,20100.0,0.2118,2,0.308,Excellent,1,Mostly Paid,4.7,32,2200.0,No,8.1,Good
33700.0,2732.24,54700.0,10600.0,0.3145,4,0.372,Good,2,Delayed,4.4,25,8200.0,Yes,3.6,Bad
67800.0,5486.64,19300.0,63700.0,0.9395,3,0.928,Good,3,Mostly Paid,8.5,31,12300.0,No,5.4,Good
61200.0,5097.64,21700.0,26600.0,0.4346,1,0.842,Fair,6,Mostly Paid,1.4,40,11500.0,No,8.1,Good
24800.0,1771.3,100200.0,3900.0,0.1573,2,0.437,Fair,3,All Paid,49.7,74,2200.0,No,12.4,Bad
130900.0,11094.59,13400.0,54200.0,0.4141,4,0.885,Good,5,All Paid,5.9,57,8600.0,No,31.3,Good
46600.0,3872.21,8800.0,41800.0,0.897,4,0.866,Excellent,3,All Paid,8.5,38,13900.0,No,3.4,Good
75600.0,6293.25,19700.0,15700.0,0.2077,4,0.257,Good,2,Mostly Paid,0.8,33,5000.0,No,8.3,Good
67000.0,5565.9,53000.0,10600.0,0.1582,7,0.84,Fair,6,Delayed,40.3,62,8400.0,Yes,34.7,Bad
66800.0,5896.04,39400.0,1600.0,0.024,6,0.407,Good,2,Mostly Paid,15.5,35,16400.0,No,6.5,Good
27400.0,2587.11,23800.0,18300.0,0.6679,1,0.927,Fair,3,Mostly Paid,12.3,64,1000.0,No,13.0,Bad
55800.0,4920.15,122100.0,4700.0,0.0842,6,0.392,Fair,3,Defaulted,8.4,70,10600.0,No,40.7,Good
59100.0,4907.99,51500.0,1200.0,0.0203,2,0.527,Excellent,2,Mostly Paid,20.7,41,11000.0,No,15.9,Good
106000.0,8610.21,7200.0,24500.0,0.2311,4,0.409,Good,1,Delayed,12.9,43,24900.0,No,14.5,Good
139100.0,11588.47,52800.0,78000.0,0.5607,6,0.797,Poor,5,Mostly Paid,8.1,42,13400.0,No,13.2,Bad
71200.0,5996.21,5900.0,11100.0,0.1559,2,0.274,Good,2,Defaulted,10.6,62,9000.0,No,15.8,Good
25900.0,2320.86,41800.0,11900.0,0.4595,1,0.891,Fair,4,Mostly Paid,3.6,58,2600.0,No,22.5,Bad
37600.0,3195.57,13300.0,20400.0,0.5426,4,0.809,Fair,3,Mostly Paid,1.1,46,12900.0,No,17.6,Good
31700.0,2436.37,46700.0,5800.0,0.183,3,0.459,Good,3,Defaulted,12.2,32,1400.0,No,1.8,Bad
28700.0,2284.58,18000.0,7700.0,0.2683,2,0.477,Fair,4,Defaulted,37.3,62,19400.0,No,8.2,Bad
49600.0,4008.11,77200.0,11400.0,0.2298,2,0.553,Poor,3,Defaulted,1.2,18,10500.0,Yes,0.5,Bad
36900.0,3182.81,19400.0,31000.0,0.8401,6,0.652,Good,2,Delayed,3.2,42,16600.0,Yes,8.2,Bad
36000.0,3112.72,38800.0,14000.0,0.3889,3,0.64,Fair,4,All Paid,5.3,24,4500.0,No,5.1,Good
23700.0,2113.93,16800.0,18400.0,0.7764,4,0.783,Good,4,Mostly Paid,2.3,26,2400.0,No,5.2,Bad
21200.0,1826.87,92200.0,1600.0,0.0755,3,,Excellent,2,Defaulted,5.7,41,10300.0,No,8.7,Bad
27000.0,1838.16,58200.0,3000.0,0.1111,4,0.257,Poor,4,Mostly Paid,1.6,18,1100.0,No,0.7,Bad
32300.0,2346.49,14800.0,700.0,0.0217,5,0.392,Fair,1,All Paid,18.0,61,1300.0,No,14.4,Good
56700.0,4696.96,109000.0,11800.0,0.2081,2,0.429,Fair,2,Mostly Paid,8.4,25,4500.0,No,6.3,Bad
66400.0,5552.95,20500.0,41300.0,0.622,3,0.813,Fair,4,Delayed,22.8,41,43200.0,No,15.5,Bad
29800.0,2734.07,41900.0,3500.0,0.1174,2,0.535,Fair,3,All Paid,2.9,28,6500.0,No,7.3,Good
55900.0,4673.89,52500.0,2300.0,0.0411,3,0.525,Good,2,Mostly Paid,44.7,68,9500.0,No,14.4,Good
47200.0,3738.14,5800.0,1000.0,0.0212,3,0.109,Poor,1,Mostly Paid,10.4,34,12000.0,No,3.4,Good
33200.0,2899.1,116800.0,5900.0,0.1777,3,0.426,Good,2,Mostly Paid,0.8,25,4100.0,No,3.0,Bad
20400.0,1696.55,19800.0,1100.0,0.0539,2,0.161,Fair,0,All Paid,23.2,52,6300.0,No,11.7,Good
60900.0,4994.59,12400.0,7800.0,0.1281,4,0.226,Fair,1,Delayed,6.3,52,6600.0,No,22.4,Good
95200.0,7610.41,71600.0,49000.0,0.5147,2,0.52,Fair,3,Mostly Paid,24.5,50,33800.0,No,7.3,Bad
36700.0,3075.37,47500.0,5300.0,0.1444,5,0.594,Good,2,All Paid,4.6,22,2800.0,No,2.3,Good
29200.0,2479.1,8200.0,8200.0,0.2808,3,0.868,Poor,3,Mostly Paid,14.0,59,2400.0,No,22.7,Bad
161700.0,13275.77,9400.0,33800.0,0.209,1,0.344,Poor,4,Delayed,0.9,56,24400.0,No,14.4,Good
40900.0,3557.2,49000.0,15600.0,0.3814,3,0.604,Fair,3,Defaulted,11.7,75,5100.0,Yes,13.9,Bad
36500.0,3172.63,7700.0,1900.0,0.0521,1,0.257,Excellent,1,All Paid,6.5,58,8100.0,No,29.8,Good
146500.0,12218.12,92200.0,111200.0,0.759,3,1.0,Fair,7,Mostly Paid,14.9,45,13800.0,No,5.5,Bad
130400.0,10869.01,52400.0,40400.0,0.3098,2,0.599,Good,2,All Paid,4.4,24,7300.0,No,2.2,Good
58700.0,5080.87,19300.0,5600.0,0.0954,2,0.238,Good,0,All Paid,3.0,26,7900.0,No,5.7,Good
63700.0,5381.84,20800.0,2500.0,0.0392,4,0.143,Poor,1,All Paid,8.5,25,11000.0,No,4.2,Good
36000.0,2859.55,29700.0,1800.0,0.05,0,0.779,Fair,3,Defaulted,0.1,29,1600.0,Yes,7.3,Bad
25300.0,2068.8,20700.0,11600.0,0.4585,1,0.742,Fair,2,All Paid,31.8,51,4600.0,No,22.6,Bad
75400.0,6394.7,58600.0,20100.0,0.2666,6,0.706,Fair,3,Defaulted,25.7,50,6300.0,Yes,24.0,Good
26700.0,1818.54,133700.0,3800.0,0.1423,3,0.584,Good,2,Delayed,10.8,65,3200.0,No,15.0,Bad
58800.0,4713.69,35700.0,7100.0,0.1207,2,0.605,Good,3,Delayed,35.0,72,4400.0,No,23.8,Good
203400.0,17086.43,25700.0,118200.0,0.5811,3,1.0,Poor,4,Delayed,7.8,40,109500.0,Yes,13.4,Good
218500.0,18450.11,13800.0,120000.0,0.5492,2,0.762,Fair,3,Mostly Paid,13.6,41,50800.0,No,15.8,Good
37800.0,3354.21,42100.0,9900.0,0.2619,4,0.842,Good,3,Defaulted,13.9,54,2800.0,Yes,18.7,Bad
83600.0,7145.33,45500.0,18600.0,0.2225,0,0.338,Poor,2,Mostly Paid,9.7,52,17800.0,No,16.1,Good
61800.0,5175.95,45500.0,31400.0,0.5081,1,1.0,Poor,4,Defaulted,1.4,61,23800.0,No,25.7,Bad
155500.0,12752.55,6000.0,64500.0,0.4148,5,0.64,Excellent,2,Mostly Paid,8.9,57,16500.0,No,14.7,Good
40600.0,3344.01,85300.0,6200.0,0.1527,2,0.321,Fair,4,All Paid,2.2,39,14900.0,No,16.0,Bad
20200.0,1284.68,19400.0,500.0,0.0248,6,0.372,Poor,1,Mostly Paid,20.7,44,1200.0,Yes,6.7,Good
31500.0,2885.13,52700.0,13800.0,0.4381,4,0.738,Poor,3,Defaulted,25.9,52,11400.0,Yes,25.2,Bad
48000.0,3836.58,54900.0,2700.0,0.0562,3,0.095,Poor,1,Delayed,1.7,18,8000.0,No,0.6,Good
44700.0,3618.33,41800.0,200.0,0.0045,4,0.226,Excellent,0,All Paid,1.7,52,2800.0,No,18.2,Good
121900.0,10370.06,22600.0,67800.0,0.5562,1,1.0,Fair,5,Mostly Paid,5.8,54,13200.0,Yes,15.9,Bad
94200.0,7527.07,37800.0,24400.0,0.259,6,0.629,Fair,3,Mostly Paid,27.5,64,83800.0,Yes,9.8,Good
43100.0,3353.79,6400.0,28700.0,0.6659,5,0.565,Good,2,Defaulted,4.9,31,13700.0,No,9.9,Good
59800.0,5036.93,55200.0,11900.0,0.199,5,0.824,Poor,5,Mostly Paid,0.2,20,10700.0,No,0.5,Bad
26500.0,2312.41,8700.0,20800.0,0.7849,4,0.889,Fair,3,Delayed,1.1,18,1100.0,Yes,0.5,Bad
168500.0,14027.33,22700.0,22100.0,0.1312,2,0.307,Excellent,2,Defaulted,0.3,22,18700.0,No,0.9,Good
198100.0,16500.52,8800.0,76600.0,0.3867,6,0.687,Fair,4,All Paid,11.5,43,12600.0,Yes,4.5,Bad
273600.0,23053.68,68500.0,29400.0,0.1075,4,0.632,Fair,5,Defaulted,4.5,72,4500.0,Yes,20.5,Bad
151900.0,12785.6,33000.0,100.0,0.0007,2,0.337,Good,2,Mostly Paid,1.8,31,24200.0,No,3.0,Good
32400.0,2800.23,46100.0,4600.0,0.142,6,,Good,1,All Paid,36.4,56,14800.0,No,19.8,Good
23100.0,2080.13,45200.0,9300.0,0.4026,2,0.706,Fair,3,Defaulted,14.5,44,5700.0,Yes,14.6,Bad
76300.0,6298.22,69500.0,3700.0,0.0485,4,0.442,Excellent,1,Mostly Paid,3.0,26,4900.0,No,6.5,Good
178400.0,15301.3,10000.0,37600.0,0.2108,5,0.517,Fair,2,All Paid,14.4,32,30900.0,No,4.6,Good
32700.0,2263.49,42700.0,2300.0,0.0703,1,0.416,Good,3,Delayed,10.6,32,19300.0,Yes,4.7,Bad
20500.0,1999.92,35000.0,500.0,0.0244,2,0.424,Excellent,1,Delayed,15.0,43,5800.0,No,7.1,Good
126400.0,10713.75,6100.0,36400.0,0.288,0,0.304,Good,1,Delayed,22.3,59,30100.0,No,27.2,Good
25200.0,2149.66,12900.0,23000.0,0.9127,4,0.907,Poor,4,Delayed,5.2,30,17900.0,No,5.2,Bad
54700.0,4574.34,15900.0,6100.0,0.1115,0,0.372,Good,5,Mostly Paid,45.0,68,,No,24.8,Good
93800.0,7785.56,7600.0,24500.0,0.2612,2,0.459,Excellent,2,Delayed,20.5,49,,No,11.6,Good
37600.0,3354.02,20300.0,34600.0,0.9202,1,0.803,Fair,4,Mostly Paid,22.2,56,3700.0,No,8.2,Bad
25700.0,2133.69,6000.0,8100.0,0.3152,4,0.553,Fair,3,Delayed,42.7,66,17800.0,No,8.4,Good
115500.0,9479.42,33200.0,38700.0,0.3351,0,0.563,Poor,5,All Paid,15.8,69,16000.0,Yes,36.8,Bad
84700.0,7238.73,13300.0,5000.0,0.059,3,0.474,Fair,4,Mostly Paid,14.5,49,2500.0,No,9.1,Good
300000.0,25316.95,16800.0,61100.0,0.2037,1,0.296,Fair,2,Mostly Paid,1.0,21,37300.0,No,3.0,Good
47400.0,3564.57,89500.0,6500.0,0.1371,1,0.667,Good,2,All Paid,3.5,47,11800.0,No,22.9,Good
24100.0,2479.75,29500.0,4600.0,0.1909,2,0.5,Fair,4,Mostly Paid,10.5,54,29500.0,No,16.1,Good
106200.0,8642.65,16000.0,51400.0,0.484,1,0.793,Poor,3,Mostly Paid,19.0,40,8800.0,No,17.7,Good
67900.0,5466.27,36900.0,12600.0,0.1856,1,0.336,Good,3,Defaulted,14.2,56,10300.0,Yes,4.7,Good
35600.0,2717.69,12900.0,700.0,0.0197,3,0.069,Excellent,1,Defaulted,3.9,62,15600.0,Yes,7.4,Good
118900.0,9908.5,7700.0,84200.0,0.7082,3,0.752,Fair,3,Delayed,4.0,32,,No,4.1,Bad
34800.0,2644.06,5700.0,8200.0,0.2356,7,0.567,Good,2,Mostly Paid,12.4,60,1300.0,No,10.6,Good
39600.0,3068.35,110900.0,30700.0,0.7753,2,0.846,Fair,4,Delayed,21.1,46,24100.0,Yes,8.0,Bad
26300.0,2053.96,50100.0,6700.0,0.2548,5,0.691,Excellent,2,Delayed,18.7,53,4000.0,No,15.0,Good
53100.0,4452.69,61300.0,1100.0,0.0207,3,0.067,Excellent,0,All Paid,1.6,30,7900.0,No,1.9,Good
55300.0,4655.3,143600.0,13400.0,0.2423,1,0.636,Good,2,Mostly Paid,13.7,49,11200.0,No,15.6,Bad
67000.0,5831.57,98900.0,17200.0,0.2567,1,0.587,Fair,2,Mostly Paid,4.4,24,500.0,No,2.2,Bad
100200.0,8593.63,51700.0,7300.0,0.0729,1,0.528,Good,2,Mostly Paid,3.4,68,54100.0,No,7.7,Bad
173800.0,14688.26,46400.0,33200.0,0.191,3,0.266,Good,2,Mostly Paid,15.0,39,16100.0,No,13.8,Good
29600.0,2414.34,19400.0,5500.0,0.1858,4,0.469,Good,1,Mostly Paid,20.3,45,3500.0,No,15.6,Good
23600.0,1598.43,8800.0,6900.0,0.2924,5,0.618,Fair,3,Mostly Paid,1.9,19,1400.0,Yes,1.3,Bad
21200.0,1394.0,34800.0,1900.0,0.0896,1,0.692,Fair,3,Delayed,26.4,59,2500.0,No,31.8,Bad
30100.0,2711.88,35100.0,7900.0,0.2625,5,0.555,Fair,3,Delayed,28.8,62,10300.0,Yes,23.0,Bad
89700.0,7643.75,111500.0,7400.0,0.0825,4,0.273,Fair,2,Delayed,46.8,74,29400.0,No,37.1,Good
104500.0,8584.99,25500.0,18500.0,0.177,3,0.644,Good,2,Mostly Paid,27.4,70,57900.0,No,12.7,Good
120400.0,9745.19,46100.0,4700.0,0.039,4,0.098,Good,1,Mostly Paid,2.6,23,12900.0,No,2.3,Good
38200.0,2973.9,34900.0,400.0,0.0105,3,0.342,Fair,3,All Paid,7.1,45,9900.0,Yes,13.2,Good
43700.0,3676.61,11800.0,5100.0,0.1167,3,0.517,Poor,4,Mostly Paid,15.1,45,6700.0,Yes,13.4,Bad
62900.0,5276.98,36400.0,6100.0,0.097,6,0.417,Fair,3,Mostly Paid,41.0,61,21000.0,No,26.5,Good
24200.0,2225.17,32200.0,3800.0,0.157,2,0.456,Poor,1,Mostly Paid,35.6,61,6500.0,No,28.9,Bad
81400.0,6693.26,28800.0,79800.0,0.9803,4,0.62,Good,2,Mostly Paid,17.4,37,8000.0,No,11.3,Good
287700.0,23926.19,30200.0,63800.0,0.2218,6,0.562,Good,4,Defaulted,1.5,47,24100.0,No,4.0,Good
49100.0,4316.73,11300.0,11900.0,0.2424,5,0.384,Good,2,All Paid,0.5,28,3400.0,No,3.8,Good
110900.0,8816.65,26800.0,94500.0,0.8521,1,0.855,Poor,3,Mostly Paid,12.4,75,19600.0,No,29.0,Bad
65100.0,5488.49,37600.0,49600.0,0.7619,4,0.646,Poor,4,Mostly Paid,3.7,72,43700.0,No,25.1,Bad
28900.0,2341.49,28500.0,18700.0,0.6471,4,0.709,Good,2,Mostly Paid,25.8,45,1800.0,No,3.7,Bad
76700.0,6534.22,28500.0,2400.0,0.0313,1,0.281,Good,1,Mostly Paid,24.0,42,2000.0,No,19.7,Good
43200.0,3702.52,7800.0,13000.0,0.3009,2,0.94,Fair,3,Defaulted,29.2,56,1600.0,Yes,30.0,Bad
22300.0,1719.07,12400.0,11000.0,0.4933,1,0.737,Good,2,Mostly Paid,10.7,50,7300.0,No,21.2,Good
85500.0,7023.53,18500.0,46300.0,0.5415,1,0.695,Good,2,Delayed,0.4,18,7900.0,No,0.5,Good
147300.0,11814.6,24000.0,38100.0,0.2587,0,0.515,Good,2,All Paid,30.7,74,8000.0,No,22.9,Good
47500.0,4108.33,36500.0,300.0,0.0063,2,0.176,Poor,3,Mostly Paid,11.3,44,4600.0,Yes,10.4,Bad
52200.0,4397.95,74700.0,57000.0,1.092,3,0.885,Good,4,Defaulted,9.4,74,11300.0,Yes,28.0,Bad
